name,customer,city,state,country,type,status,date first heard,start construction,start operation,no of megapacks,no of powerpacks,capacity mwh,power mw,use case,link,link2,notes
switch datacenter,switch,,nevada,usa,megapack,,24.7.2020,,,,,,,datacenter,https://electrek.co/2020/07/24/tesla-megapack-project-switch-datacenter/,,
Kauai Island,KIUC,Kauai,hawaii,usa,powerpack,operation,,,8.3.2017,,,52,,"island, 13mw solar farm support",https://www.theverge.com/2017/3/8/14854858/tesla-solar-hawaii-kauai-kiuc-powerpack-battery-generator,,20 year contract to buy energy
Mira Loma Substation,SCE Southern California Edison,Ontario,califorinia,usa,powerpack,operation,,,2.6.2017,,,80,20,,https://www.theverge.com/2017/2/6/14523196/tesla-battery-powerpack-los-angeles-electricity,,
ngen slovenia 2,ngen,Kidričevo,,slovenia,megapack,operation,,,13.10.2020,12,,30,15,,https://www.teslarati.com/tesla-megapack-installation-ngen-slovenia/,,
ngen slovenia 1,ngen,Jesenice,,slovenia,powerpack,operation,,,14.10.2019,,,22,12,,https://www.youtube.com/watch?v=v9j-2lsMcJ0,,
Alaska,Homer Electric Association,Soldotna Power Plant,alaska,usa,megapack,operation,3.12.2019,,23.7.2021,37,,93,46,,https://www.homerelectric.com/2019/12/battery-energy-storage-system-bess-coming-to-hea/,https://www.homerelectric.com/2021/07/battery-energy-storage-system-has-arrived/,
Colorado ,United Power,Weld County,colorado,usa,powerpack,operation,14.10.2018,,22.1.2019,,,16,4,,https://www.youtube.com/watch?v=dyAhUREGDzA,https://electrek.co/2018/10/14/tesla-powerpack-project-save-colorado-ratepayers/,
Nantucket,National Grid,Nantucket island,Massachusetts,usa,powerpack,operation,8.11.2017,,9.19.2019,,234,48,6,island,https://electrek.co/2017/11/08/tesla-powerpack-island-of-nantucket/,https://electrek.co/2019/10/09/tesla-big-powerpack-nantucket/,
Guildford electric buses,Zenobe Energy ,guildford,,uk,powerpack,operation,,,26.6.2019,,78,15,,bus depot,https://electrek.co/2019/06/26/tesla-powerpacks-charge-electric-buses/,,
Gannawarra Solar Farm,Edify Energy / Wirsol,,victora,australia,powerpack,operation,,,16.11.2018,,,50,25,60MW solar farm support,https://electrek.co/2018/11/16/tesla-powerpack-project-australia-megapack/,,
Lake Bonney Wind Farm,Infigen Energy,,south australia,australia,powerpack,operation,15.8.2018,,22.1.2020,,,52,25,278MW wind farm support,https://electrek.co/2018/08/15/tesla-powerpack-win-contract-battery-system/,https://www.pv-magazine.com/2020/01/22/lake-bonney-big-battery-ready-to-supply-teslas-australian-ev-charger-network/,
Ta'u island,,Ta'u island,american samoa,usa,powerpack,operation,,,22.11.2016,,60,6,,"island, 1.4MW solar farm support",https://electrek.co/2016/11/22/tesla-island-microgrid-battery-solar/,,
Samoa,,,,samoa,powerpack,operation,,,25.7.2018,,,13.5,,island,https://electrek.co/2018/07/25/tesla-microgrid-powerpack-projects-samoa-fossil-fuel-free/,,2 locations at power station and airport
Pinal Central Solar Energy Center,Salt River Project,,arizona,usa,powerpack,operation,,,29.5.2018,,,40,10,20MW solar farm support,https://electrek.co/2018/05/29/tesla-powerpacks-without-logo-new-solar-project-arizona/,https://www.youtube.com/watch?v=e9RuVL3t4jQ,
Terhills,Restore,Terhills,,belguim,powerpack,operation,,,14.5.2018,,140,29,18,,https://electrek.co/2018/05/14/tesla-powerpack-project-grid-balancing-europe/,,
