id,name,external_id,state,country,mw,mwh,status,date_first_heard,start_construction,start_operation,start_estimated,owner,is_megapack,is_tesla,lat,long,coords_hint,has_user_data,project_website,link1,link2,link3,link4
114,Cross Town Energy Storage,66606,maine,usa,175,350,construction,2023-05,2024-04,,2025-08,Cross Town Energy Storage LLC,True,True,43.68383,-70.39786,1,True,https://www.crosstownenergystorage.com/about,https://www.greentechmedia.com/articles/read/plus-power-breaks-open-new-england-market-for-massive-batteries,https://twitter.com/SharifaDarani/status/1612314447074439168,,
118,Mohammed bin Rashid Al Maktoum Solar Park,,,uae,1,8,operation,,,2021-09-27,,Dubai Electricity and Water Authority (DEWA),True,True,24.765375,55.367443,0,True,,https://www.asiantechpress.com/dubai-launches-pilot-project-for-energy-storage-with-tesla-megapack.html,https://www.pv-magazine.com/2021/09/27/teslas-storage-facility-comes-online-at-mohammed-bin-rashid-solar-park-in-dubai/,,
119,Bouldercombe,,queensland,australia,50,100,operation,2021-10-05,,2023-11-10,2023H1,Genex Power,True,True,-23.537188,150.48991,3,True,https://www.genexpower.com.au/bouldercombe-battery-project.html,https://www.energy-storage.news/tesla-megapacks-picked-for-genex-powers-50mw-100mwh-battery-project-in-queensland-australia/,https://cleantechnica.com/2021/10/05/genex-power-will-use-40-tesla-megapacks-for-bouldercome-battery-project/,https://twitter.com/SawyerMerritt/status/1722857295078383700,
129,Chapel Farm,7058,eastern,uk,49,99,operation,2019-06-13,,2023-06-16,2023Q1,Harmony Energy,True,True,51.925834,-0.499999,2,True,,https://reneweconomy.com.au/tag-energy-to-use-tesla-megapacks-in-two-new-battery-storage-projects-in-uk/,https://twitter.com/Tesla_Megapack/status/1669479285848182784,,
130,Jamesfield Organic Centre - Battery Storage,10863,scotland,uk,49,98,operation,2022-06-07,2023-01-01,2024-02-01,2023Q1,Harmony Energy Storage,True,True,56.347678,-3.298351,2,True,,https://reneweconomy.com.au/tag-energy-to-use-tesla-megapacks-in-two-new-battery-storage-projects-in-uk/,https://www.harmonyenergyplanning.co.uk/jamesfield/,,
164,"Eland Solar & Storage Center, Phase 2 Hy",61169,california,usa,150,600,construction,2020-09,2024-12,,2025-03,69SV 8me LLC,True,True,35.198008,-117.994,2,True,,https://twitter.com/SawyerMerritt/status/1760848348607594844,https://renewablesnow.com/news/arevon-secures-over-usd-1bn-for-california-solar-plus-storage-project-849335/,https://x.com/Tesla_Megapack/status/1794120454883659833,
193,Silverstrand Grid Energy Storage System,63735,california,usa,11,46,operation,2020-09,2021-01,2021-04,,"Silverstrand Grid, LLC",True,True,34.205195,-119.058256,3,True,,https://beiconstruction.com/expanding-energy-storage-resources-with-tesla-megapacks/,,,
228,Townsite Solar Project Hybrid,60654,nevada,usa,90,360,operation,2020-09,2021-08,2021-12,2021-11,"Townsite Solar, LLC",True,True,35.935805,-114.869386,1,True,,https://www.tesla.com/videos/townsite-solar-storage,https://arevonenergy.com/location/townsite/,,
299,Pillswood Phase 1 ,7005,yorkshire and humber,uk,49,98,operation,2019-06-13,2022-04-01,2022-11-01,,Harmony Energy Storage,True,True,53.801332,-0.415133,2,True,,https://www.heitp.co.uk/content/uploads/2022/09/263502_Harmony_RA_2022_Web.pdf,https://www.insidermedia.com/news/yorkshire/battery-energy-storage-facility-brought-online,https://www.londonstockexchange.com/news-article/HEIT/pillswood-energisation/15722939,
404,Holes Bay,7688,south west,uk,15,15,construction,2020-04-29,2020-01-01,,,Harmony Energy,True,True,50.726324,-1.990215,2,False,,,,,
410,Rye Common,7737,south east,uk,49,198,planning,2021-10-06,,,2024Q3,Pulse Clean Energy,True,True,51.248047,-0.87689,2,True,,https://www.theaic.co.uk/aic/news/citywire-news/harmony-energy-looks-at-fund-options-after-c-share-flop,https://www.investegate.co.uk/harmony-energy-inc.--heit-/rns/acquisition-of-three-pipeline-projects/202212150700037588J/,https://publicaccess.hart.gov.uk/online-applications/applicationDetails.do?keyVal=R56JLBHZGS400&activeTab=summary,https://publicaccess.hart.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RJ0K4PHZ0GB00
489,Rusholme Grange ,9121,yorkshire and humber,uk,40,70,planning,2021-09-03,,,2023Q3,Harmony Energy Storage,True,True,53.73117,-0.937436,2,True,,https://www.heitp.co.uk/content/uploads/2022/09/263502_Harmony_RA_2022_Web.pdf,https://public.selby.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=QT1W2CNXJ6D00,,
548,Blythe Mesa Solar II,65053,california,usa,112,448,operation,2021-11,2022-01,2022-12,2022-11,"Blythe Mesa Solar II, LLC",True,True,33.586448,-114.733459,1,True,https://www.intersectpower.com/portfolio/,https://www.intersectpower.com/press-releases/intersect-power-reaches-commercial-operation-of-310-mwp-athos-iii-solar-storage-project-in-california/,https://www.intersectpower.com/press-releases/tesla-provides-intersect-power-with-15-3-gwh-of-megapacks-for-solar-storage-projects/,,
691,Kogan Creek / Chinchilla,,queensland,australia,100,200,operation,2022-03-30,,2024-03-05,2023Q4,,True,True,-26.917756,150.746113,2,True,,https://www.energy-storage.news/queensland-government-invests-in-200mwh-tesla-megapack-bess-at-coal-power-plant-site/,https://twitter.com/Tesla_Megapack/status/1703911766596751682,https://twitter.com/SawyerMerritt/status/1764791615061668146,
697,Vikings Energy Farm,65711,california,usa,150,600,operation,2022-07,2023-10,2024-05,2023-12,"Vikings Energy Farm, LLC",True,True,32.804395,-115.274713,2,True,https://arevonenergy.com/location/viking/,https://arevonenergy.com/arevon-acquires-vikings-energy-farm/,https://www.solarpowerworldonline.com/2023/02/solv-energy-breaks-ground-solar-peaker-plant-california/,,
701,Oberon Solar Project,65734,california,usa,125,500,operation,2022-08,2022-09,2023-09,2023-06,IP Oberon LLC,True,True,33.717864,-115.358576,2,True,,https://www.pv-tech.org/us-government-approves-500mw-co-located-project-in-california-desert/,http://www.aspeneg.com/oberon-renewable-energy-project/,https://www.intersectpower.com/press-releases/tesla-provides-intersect-power-with-15-3-gwh-of-megapacks-for-solar-storage-projects/,
702,Oberon II Solar Project,65735,california,usa,125,500,operation,2022-08,2022-12,2023-09,2023-09,"IP Oberon II, LLC",True,True,33.718247,-115.35194,2,True,,https://www.pv-tech.org/us-government-approves-500mw-co-located-project-in-california-desert/,http://www.aspeneg.com/oberon-renewable-energy-project/,https://www.intersectpower.com/press-releases/tesla-provides-intersect-power-with-15-3-gwh-of-megapacks-for-solar-storage-projects/,
774,"Nighthawk Energy Storage, LLC",65889,california,usa,300,1200,planning,2022-09,,,2025-05,"Nighthawk Energy Storage, LLC",True,True,32.957486,-117.038749,3,True,https://arevonenergy.com/location/nighthawk/,https://arevonenergy.com/nighthawk-utility-scale-storage-facility-to-use-tesla-megapack/,,,
824,"Gleniston, Auchtertool - Battery Storage Facility",11808,scotland,uk,49,99,operation,2022-11-01,,2023-10,2023Q4,Harmony Energy Limited,True,True,56.11287,-3.271262,2,True,https://www.heitp.co.uk/portfolio/projects-overview/key-information-about-little-raith-bess/,https://www.heitp.co.uk/content/uploads/2022/09/263502_Harmony_RA_2022_Web.pdf,https://planning.fife.gov.uk/online/applicationDetails.do?keyVal=READTEHF1AL00&activeTab=summary,,
843,Lessines,,,belgium,50,100,operation,,,2022-12-11,,,True,True,50.72743,3.854307,1,True,,https://insideevs.com/news/625965/tesla-megapack-battery-belgium/,,,
