name,city,id,external_id,overwrite,state,country,capacity_mwh,estimate_mwh,power_mw,customer,owner,developer,manufacturer,type,cells,no_of_battery_units,status,date_first_heard,start_construction,start_operation,start_estimated,cost_million,cost_currency,cost_incl_solar,lat,long,coords_hint,coords_hint_2,use_case,notes,project_website,link1,link2,link3,link4
Bolfornought Farm Battery Storage Facility,,472,8912,1,scotland,uk,,49,49,,Intelligent Land Investments Group,,,,,,planning,,,,,,,,,,,,,,,,,,
Skelton Battery Storage Facility,,473,8914,1,yorkshire and humber,uk,,99,99,,Skelton Peak Power Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Whitehills Energy Storage Facility,,474,8916,1,scotland,uk,,49,49,,Gigabox Developments Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Dersalloch Battery Storage Facility,,475,8927,1,scotland,uk,,50,50,,Scottish Power Renewables (UK) Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Bolney Substation - Battery Storage,,476,8986,1,south east,uk,,200,200,,One Planet Developments Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Stor Generation Plant - Battery Storage,,477,8998,1,yorkshire and humber,uk,,12,12,,Green Frog Power 214 Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Hull East Stor Generation Compound - Battery energy storage,,478,9006,1,yorkshire and humber,uk,,20,20,,Green Frog Power 214 Limited,,,,,,planning,2021-07-29,,,,,,,,,,,,,,,,,
Kilgallioch - Battery energy storage,,479,9007,1,scotland,uk,,100,100,,Scottish Renewables Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Standby Embedded Stor Power Plant - Battery storage,,480,9010,1,north east,uk,,20,20,,Green Frog Power 214 Limited,,,,,,planning,2021-06-16,,,,,,,,,,,,,,,,,
Greens Farm - Battery energy storage,,481,9012,1,eastern,uk,,49,49,,Pelham Power Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
"Maiden, Annfield Plain - Energy Storage",,482,9036,1,north east,uk,,38,38,,Stephenson Mohl Development,,,,,,planning,,,,,,,,,,,,,,,,,,
Barton Hill Industrial Park - Battery Energy Storage Facility,,483,9046,1,south west,uk,,22,22,,Power Initiatives Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
"Bronwylfa Road, Talwrn - Battery Storage Facility",,484,9052,1,wales,uk,,49,49,,Pelagic Energy,,,,,,planning,,,,,,,,,,,,,,,,,,
"Whaddon Lane, Hilperton",,485,9057,1,south west,uk,,18,18,,INRG,,,,,,planning,,,,,,,,,,,,,,,,,,
"Purlieus Farm, Minety - Battery Storage Facility",,486,9063,1,south west,uk,,49,49,,Minety South 2,,,,,,planning,,,,,,,,,,,,,,,,,,
"Dragonhall Farm, Padanaram - Battery Storage",,487,9066,1,scotland,uk,,10,10,,Ecosse Solar Parks Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Kirkhaw Lane - Battery Storage Energy,,488,9115,1,yorkshire and humber,uk,,100,100,,SSE Enterprise,,,,,,planning,2021-09-22,,,,,,,,,,,,,,,,,
Rusholme Grange Resubmission,Selby,489,9121,1,yorkshire and humber,uk,70,,35,,Harmony Energy Income Trust,,tesla,megapack,,,construction,2017-12-19,,,2023Q3,,,,53.73122,-0.94159,1,location_exact,,,,https://www.heitp.co.uk/content/uploads/2022/09/263502_Harmony_RA_2022_Web.pdf,https://public.selby.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=QT1W2CNXJ6D00,,
Daer Wind Farm,,490,9127,1,scotland,uk,,100,100,,E.ON Climate & Renewables UK Developments,,,,,,planning,,,,,,,,,,,,,,,,,,
Bay Gateway - Battery Storage Facility,,491,9199,1,north west,uk,,99,99,,Energi Generation,,,,,,planning,,,,,,,,,,,,,,,,,,
Balsillie Avenue - Roaring Hill Energy Storage Facility,,492,9224,1,scotland,uk,,19,19,,RES Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Forest Gate - Solar Farm & Battery Storage,,493,9230,1,south west,uk,,40,40,,Eden Renewables,,,,,,planning,,,,,,,,,,,,,,,,,,
Leigh Delamere - Solar farm & Battery storage,,494,9238,1,south west,uk,,40,40,,Eden Renewables,,,,,,planning,,,,,,,,,,,,,,,,,,
South Fambridge Hall - Solar farm & Battery storage,,495,9274,1,eastern,uk,,20,20,,British Solar Renewables,,,,,,planning,,,,,,,,,,,,,,,,,,
"Weirs Drove, Burwell - Battery Storage Facility",,496,9292,1,eastern,uk,,30,30,,Fen Power 1 Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Sundon Substation - 49.9MW Battery Storage,,497,9315,1,eastern,uk,,49,49,,Pivot Power,,,,,,planning,,,,,,,,,,,,,,,,,,
"Widow Hill, Balderstone Lane - Battery Energy Storage System",,498,9340,1,north west,uk,,70,70,,P3P Partners LLP,,,,,,planning,,,,,,,,,,,,,,,,,,
Grendon Lakes - Battery Storage,,499,9341,1,east midlands,uk,,49,49,,Statera Energy,,,,,,planning,,,,,,,,,,,,,,,,,,
Maelor Gasworks - Solar Farm & Battery Storage,,500,9343,1,wales,uk,,16,16,,Novus Renewable Services Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
"Estuary Farm, Edward Benefer Way - Solar Farm & Battery Storage",,501,9346,1,eastern,uk,,15,15,,Namene Solar,,,,,,planning,,,,,,,,,,,,,,,,,,
South Farm Solar Park,,502,9361,1,south west,uk,,10,10,,Voltalia UK,,,,,,construction,2019-11-15,2021-01-07,,,,,,,,,,,,,,,,
"Capenhurst Lane, Capenhurst - Battery storage",,503,9377,1,north west,uk,,57,57,,HD888CAP Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
"Stainland Road, Salterhebble - Battery Storage Facility",,504,9397,1,yorkshire and humber,uk,,25,25,,North Deane Generation Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Dunton Hall - Battery Energy Storage System,,505,9427,1,west midlands,uk,,349,349,,Welbar Energy Storage Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Admiralty Road - Battery Energy Storage Facility,,506,9470,1,eastern,uk,,49,49,,BAT-NR30 Limited,,,,,,planning,2021-08-19,,,,,,,,,,,,,,,,,
Kirkhaw Lane - Battery Storage Energy,,507,9475,1,yorkshire and humber,uk,,100,100,,SSE Enterprise,,,,,,planning,,,,,,,,,,,,,,,,,,
Caldwell Road - Battery Storage,,508,9507,1,east midlands,uk,,90,90,,Aura Power BESS Ltd,,,,,,planning,,,,,,,,,,,,,,,,,,
Wishaw 49.9 Battery Storage Facility,,509,9522,1,scotland,uk,,49,49,,Spectrum Reserve Limited,,,,,,planning,2020-09-24,,,,,,,,,,,,,,,,,
Heysham Energy Storage Project,,510,9545,1,north west,uk,,200,200,,Kona Energy Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Tiddlywink Barn Battery Storage Power Plant,,511,9552,1,south west,uk,,20,20,,Mcballester Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
