Old Ref ID,Ref,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,status,mw
,8916,20/09/2021,Gigabox Developments Limited,Whitehills Energy Storage Facility,Battery,Stand-alone Storage,,49.90,No,,,,,,,,Planning Application Submitted,Application Submitted,Energy Storage Unit 1 Old Brechin Road Forfar,Angus,Scotland,Scotland,DD8 3HH,346735,751635,Angus Council,21/00534/FULM,,,,,,07/07/2021,,,,,,,,,,,,,,,planning,49
,8927,28/04/2021,Scottish Power Renewables (UK) Limited,Dersalloch Battery Storage Facility,Battery,Stand-alone Storage,,50.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Wind Farm At Dersalloch B741 Dalmellington Road Straiton, Council Boundary Straiton, Maybole",Ayrshire,Scotland,Scotland,KA6 7QA,242893,605864,Scottish Government (S36),ECU00002112,,,,,,01/08/2020,,,,,,,,,,,,,,,planning,50
,8986,07/07/2021,One Planet Developments Limited,Bolney Substation - Battery Storage,Battery,Stand-alone Storage,,200.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Adj Bolney Substation, Wineham Lane, Wineham, Henfield",West Sussex,South East,England,BN5 9AZ,523770,121216,Mid Sussex District Council,DM/21/2276,,,,,,22/06/2021,,,,,,,,,,,,,,,planning,200
,8998,10/05/2021,Green Frog Power 214 Limited,Stor Generation Plant - Battery Storage,Battery,Stand-alone Storage,,12.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Stor Generation Plant, Duncombe Road, Bradford",West Yorkshire,Yorkshire and Humber,England,BD8 9TB,413907,433254,Bradford Metropolitan District Council,21/02041/FUL,,,,,,16/04/2021,,,,,,,,,,,,,,,planning,12
,9006,12/05/2021,Green Frog Power 214 Limited,Hull East Stor Generation Compound - Battery energy storage,Battery,Stand-alone Storage,,20.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,"Hull East Stor Generation Compound, Great Field Lane, Somerden Road, Kingston Upon Hull",East Riding of Yorkshire,Yorkshire and Humber,England,HU9 5PE,515219,429506,Kingston upon Hull City Council,21/00631/FULL,,,,,,27/04/2021,,,,,,,29/07/2021,,,,,,,,planning,20
,9007,12/05/2021,Scottish Renewables Limited,Kilgallioch - Battery energy storage,Battery,Stand-alone Storage,,100.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Wind Farm, Kilgallioch C72 From Gowlands Terrace, Barrhill To Council Boundary S/O Chirmorrie South From Barrhill, Barrhill, Girvan",Strathclyde,Scotland,Scotland,KA26,218521,597132,South Ayrshire Council,21/00387/DEEM,,,,,,29/03/2021,,,,,,,,,,,,,,,planning,100
,9010,21/06/2021,Green Frog Power 214 Limited,Standby Embedded Stor Power Plant - Battery storage,Battery,Stand-alone Storage,,20.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,"Standby Embedded Stor Power Plant, High Flatworth, Tyne Tunnel Trading Estate, North Shields",Tyne And Wear,North East,England,NE29 7UZ,433220,567794,North Tyneside Council,21/01109/FUL,,,,,,22/04/2021,,,,,,,16/06/2021,,,,,,,,planning,20
,9012,13/05/2021,Pelham Power Limited,Greens Farm - Battery energy storage,Battery,Stand-alone Storage,,49.90,No,,,,,,,,Planning Application Submitted,Application Submitted,"Greens Farm, East End, Stocking Pelham, Buntingford",Hertfordshire,Eastern,England,SG9 0JU,545521,228157,East Hertfordshire District Council,3/21/0969/FUL,,,,,,05/05/2021,,,,,,,,,,,,,,,planning,49
,9036,18/05/2021,Stephenson Mohl Development,"Maiden, Annfield Plain - Energy Storage",Battery,Stand-alone Storage,,38.00,No,,,,,,,,Planning Application Submitted,Application Submitted,Land To The South West Of Morrison Industrial Estate And West Of Lanchester Road Maiden Law,County Durham,North East,England,DH9 7XW,417286,550478,Durham County Council,DM/21/01583/FPA,,,,,,05/05/2021,,,,,,,,,,,,,,,planning,38
,9046,20/05/2021,Power Initiatives Limited,Barton Hill Industrial Park - Battery Energy Storage Facility,Battery,Stand-alone Storage,,22.50,No,,,,,,,,Planning Application Submitted,Application Submitted,"Barton Hill Industrial Park, Barton Hill Way, Torquay",Devon,South West,England,TQ2 8JJ,290550,66350,Torbay Council,P/2021/0345,,,,,,05/05/2021,,,,,,,,,,,,,,,planning,22
