Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),CfD Allocation Round,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,lat,long,status,mw
,11449,12/12/2022,Harrington Franklin Limited,"Harrington Franklin, Richborough Energy Park - Battery Storage",Battery,Stand-alone Storage,,49.9,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,Part Of Former Richborough Power Station Ramsgate Road ,Kent,South East,England,CT13 9DE,633493,161659,Dover District Council,22/00705,,,,,,01/06/2022,,,,,,,06/12/2022,,,,06/12/2025,,,,51.306124,1.348574,planning,49
,11482,24/06/2022,Elgin Energy,Wemyss Estate - Randolph Solar Farm & Battery Energy Storage,Battery,Co-located with RE,6383,25,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Land adj. to former Nant-Y-Gwy, Landfill site, Pentre, Mid Glamorgan",Fife,Scotland,Scotland,KY1 4BD,328650,697633,Scottish Government (S36),ECU00002222,,,,,,10/03/2021,,,,,,,24/05/2022,,,,24/05/2027,,,,56.165997,-3.150531,planning,25
,11516,22/06/2022,Relay Slimbridge Limited,"Kingston Road, Slimbridge - Battery Storage",Battery,Stand-alone Storage,,36,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,North East Of Kingston Road Slimbridge ,Gloucestershire,South West,England,GL2 7BN,373581,204263,Stroud District Council,S.22/1157/FUL,,,,,,13/06/2022,,,,,,,,,,,,,,,51.736447,-2.38398,planning,36
,11519,26/09/2022,Harmony Energy Limited,Neil Fox Way - Battery Storage,Battery,Stand-alone Storage,,99.9,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,South Of Wakefield B Substation And East Of Neil Fox Way ,West Yorkshire,Yorkshire and Humber,England, WF1 5DB,435191,419407,Wakefield Council,22/01460/FUL,,,,,,05/07/2022,,,,,,,,,,,,,,,53.669961,-1.468833,planning,99
,11544,24/06/2022,Novus Renewable Services Limited,Little Llwyn Onn - Solar Farm & Battery Storage,Battery,Co-located with RE,11543,16,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Little Llwyn Onn, Cefn Road, Llwyn Onn",Clwyd,Wales,Wales,LL13 0NY,336098,348970,Wrexham County Borough Council,P/2022/0541,,,,,,09/06/2022,,,,,,,,,,,,,,,53.034175,-2.954379,planning,16
,11558,28/06/2022,Flag Fen Power Limited,"Third Drove, Fengate - Battery Storage",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Third Drove Fengate ,Cambridgeshire,Eastern,England,PE1 5QR,521724,298443,Peterborough City Council,22/00740/FUL,,,,,,16/06/2022,,,,,,,,,,,,,,,52.5702,-0.205405,planning,50
,11559,21/10/2022,Sizing John Limited,Sutton Manor - Battery Storage Facility,Battery,Stand-alone Storage,,57,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,8439,S/O National Grid's Rainhill Substation Lea Green Road Sutton Manor St Helens ,Merseyside,North West,England,WA9 4QH,351018,391685,St Helens Council,P/2022/0392/FUL,,,,,,06/06/2022,,,,,,,16/09/2022,,,,16/09/2025,,,,53.419678,-2.738489,planning,57
,11590,10/11/2022,One Planet Developments Limited,"Overhill Farm, Rothienorman  - Battery Energy Storage",Battery,Stand-alone Storage,,49.9,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Overhill Farm Rothienorman Inverurie ,Grampian,Scotland,Scotland,AB51 8YN,368749,834910,Aberdeenshire Council,APP/2022/2252,,,,,,02/11/2022,,,,,,,,,,,,,,,57.403505,-2.521716,planning,49
,11609,07/07/2022,Craig Watch Wind Farm Limited,Craig Watch - Wind Farm & Battery Storage,Battery,Co-located with RE,11608,27.4,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Craig Watch Wind Farm Moray,Grampian,Scotland,Scotland,AB55 4AA,332299,840059,Scottish Government (S36), ECU00002177,,,,,,14/06/2022,,,,,,,,,,,,,,,57.445774,-3.129628,planning,27
,11611,08/07/2022,STOR 141 Limited,Grassing Rome Street - Battery Storage,Battery,Stand-alone Storage,,15.5,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Former Railway Line and Bousteads Grassing, Rome Street, Carlisle",Cumbria,North West,England,CA2 5AD,340233,555011,Carlisle City council,22/0513,,,,,,28/06/2022,,,,,,,,,,,,,,,54.886256,-2.933199,planning,15
,11612,17/10/2022,ADV 003 Limited,"Norrington Gate Farm, Broughton Gifford - Battery Energy Storage Facility",Battery,Stand-alone Storage,,150,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Norrington Gate Farm, Norrington Gate, Broughton Gifford, Melksham",Wiltshire,South West,England,SN12 8LW,388184,164072,Wiltshire Council,PL/2022/03914,,,,,,13/06/2022,,,,,,,,,,,,,,,51.375577,-2.171149,planning,150
